id,name,category,description,marketing_application,trigger_context,difficulty
1,First Principles,Foundational Thinking,Break problems down to basic truths and build solutions from there using the 5 Whys technique,Don't copy competitors blindly—ask why you need a tactic and whether there's a better solution,strategy planning,beginner
2,Jobs to Be Done,Foundational Thinking,People don't buy products—they hire them to get a job done; focus on outcomes not features,Frame your product around the job it accomplishes rather than its specifications,positioning and messaging,beginner
3,Circle of Competence,Foundational Thinking,Know what you're good at and stay within it; venture outside only with proper learning,Don't chase every channel—double down where you have genuine expertise and competitive advantage,channel selection,beginner
4,Inversion,Foundational Thinking,Instead of asking how to succeed ask what would guarantee failure then avoid those things,List everything that would make your campaign fail then systematically prevent each,strategy planning,intermediate
5,Occam's Razor,Foundational Thinking,The simplest explanation is usually correct; avoid overcomplicating strategies,If conversions dropped check the obvious first (broken form or page speed) before complex attribution,low conversions,beginner
6,Pareto Principle,Foundational Thinking,Roughly 80% of results come from 20% of efforts; identify and focus on the vital few,Find the 20% of channels customers or content driving 80% of results and cut the rest,resource allocation,beginner
7,Local vs Global Optima,Foundational Thinking,A local optimum is the best solution nearby but a global optimum is the best overall,Optimizing email subject lines won't help if email isn't the right channel—zoom out first,growth stalling,intermediate
8,Theory of Constraints,Foundational Thinking,Every system has one bottleneck limiting throughput; find and fix it before optimizing elsewhere,If your funnel converts well but traffic is low fix the traffic bottleneck first,growth stalling,intermediate
9,Opportunity Cost,Foundational Thinking,Every choice has a cost—what you give up by not choosing alternatives,Time spent on a low-ROI channel is time not spent on high-ROI activities—always compare alternatives,resource allocation,beginner
10,Law of Diminishing Returns,Foundational Thinking,After a point additional investment yields progressively smaller gains,The 10th blog post won't have the same impact as the first—know when to diversify,resource allocation,intermediate
11,Second-Order Thinking,Foundational Thinking,Consider not just immediate effects but the effects of those effects,A flash sale boosts revenue (first order) but may train customers to wait for discounts (second order),strategy planning,advanced
12,Map ≠ Territory,Foundational Thinking,Models and data represent reality but aren't reality itself,Your customer persona is useful but real customers are more complex—stay in touch with actual users,research and insights,intermediate
13,Probabilistic Thinking,Foundational Thinking,Think in probabilities not certainties; estimate likelihoods and plan for multiple outcomes,Don't bet everything on one campaign—spread risk and plan for underperformance scenarios,strategy planning,advanced
14,Barbell Strategy,Foundational Thinking,Combine extreme safety with small high-risk high-reward bets; avoid the mediocre middle,Put 80% of budget into proven channels and 20% into experimental bets,budget allocation,intermediate
15,Fundamental Attribution Error,Understanding Buyers,People attribute others' behavior to character not circumstances,When customers don't convert examine your process before blaming them—the problem is usually situational,low conversions,intermediate
16,Mere Exposure Effect,Understanding Buyers,People prefer things they've seen before; familiarity breeds liking,Consistent brand presence builds preference over time—repetition across channels creates trust,brand awareness,beginner
17,Availability Heuristic,Understanding Buyers,People judge likelihood by how easily examples come to mind,Case studies and testimonials make success feel more achievable—make positive outcomes easy to imagine,building trust,intermediate
18,Confirmation Bias,Understanding Buyers,People seek information confirming existing beliefs and ignore contradictory evidence,Understand what your audience already believes and align messaging accordingly,messaging and copy,intermediate
19,Lindy Effect,Understanding Buyers,The longer something has survived the longer it's likely to continue,Proven marketing principles like clear value props and social proof outlast trendy tactics,strategy planning,intermediate
20,Mimetic Desire,Understanding Buyers,People want things because others want them; desire is socially contagious,Show that desirable people want your product—waitlists exclusivity and social proof trigger this,increasing urgency,advanced
21,Sunk Cost Fallacy,Understanding Buyers,People continue investing because of past investment even when no longer rational,Know when to kill underperforming campaigns—past spend shouldn't justify future spend,campaign optimization,intermediate
22,Endowment Effect,Understanding Buyers,People value things more once they own them,Free trials samples and freemium models let customers own the product making them reluctant to give it up,retention and churn,intermediate
23,IKEA Effect,Understanding Buyers,People value things more when they've put effort into creating them,Let customers customize configure or build something—their investment increases perceived value,onboarding,intermediate
24,Zero-Price Effect,Understanding Buyers,Free isn't just a low price—it's psychologically different triggering irrational preference,Free tiers free trials and free shipping have disproportionate appeal over low-price alternatives,pricing decisions,intermediate
25,Hyperbolic Discounting,Understanding Buyers,People strongly prefer immediate rewards over future ones even when waiting is more rational,Emphasize immediate benefits like 'Start saving time today' over future ROI promises,messaging and copy,intermediate
26,Status-Quo Bias,Understanding Buyers,People prefer the current state of affairs; change requires effort and feels risky,Reduce friction to switch—make the transition feel safe and easy with one-click imports,retention and churn,intermediate
27,Default Effect,Understanding Buyers,People tend to accept pre-selected options; defaults are powerful,Pre-select the plan you want customers to choose—opt-out beats opt-in when ethically applied,decision paralysis,beginner
28,Paradox of Choice,Understanding Buyers,Too many options overwhelm and paralyze; fewer choices often lead to more decisions,Limit options—three pricing tiers beat seven and recommend a single best-for-most option,decision paralysis,beginner
29,Goal-Gradient Effect,Understanding Buyers,People accelerate effort as they approach a goal; progress visualization motivates,Show progress bars completion percentages and almost-there messaging to drive completion,onboarding,beginner
30,Peak-End Rule,Understanding Buyers,People judge experiences by the peak moment and the end not the average,Design memorable peaks like surprise upgrades and strong endings like thank-you pages,customer experience,intermediate
31,Zeigarnik Effect,Understanding Buyers,Unfinished tasks occupy the mind more than completed ones; open loops create tension,Use 'You're 80% done' messaging—incomplete profiles and abandoned carts leverage this pull,increasing urgency,intermediate
32,Pratfall Effect,Understanding Buyers,Competent people become more likable when they show a small flaw,Admitting a weakness like 'We're not the cheapest but...' can increase trust and differentiation,building trust,advanced
33,Curse of Knowledge,Understanding Buyers,Once you know something you can't imagine not knowing it; experts struggle to explain simply,Your product seems obvious to you but confusing to newcomers—test copy with unfamiliar people,messaging and copy,intermediate
34,Mental Accounting,Understanding Buyers,People treat money differently based on its source or intended use even though money is fungible,Frame costs in favorable accounts—'$3/day' feels different than '$90/month' even though it's the same,pricing decisions,intermediate
35,Regret Aversion,Influencing Behavior,People avoid actions that might cause regret even if the expected outcome is positive,Money-back guarantees free trials and no-commitment messaging reduce fear of regret,low conversions,beginner
36,Bandwagon Effect / Social Proof,Influencing Behavior,People follow what others are doing; popularity signals quality and safety,Show customer counts testimonials logos reviews and trending indicators to build confidence,building trust,beginner
37,Reciprocity Principle,Influencing Behavior,People feel obligated to return favors; give first and people want to give back,Free content free tools and generous free tiers create reciprocal obligation before asking,lead generation,beginner
38,Commitment & Consistency,Influencing Behavior,Once people commit to something they want to stay consistent with that commitment,Get small commitments first like email signup or free trial—each step makes the next more likely,onboarding,intermediate
39,Authority Bias,Influencing Behavior,People defer to experts and authority figures; credentials create trust,Feature expert endorsements certifications featured-in logos and thought leadership content,building trust,beginner
40,Liking / Similarity Bias,Influencing Behavior,People say yes to those they like and those similar to themselves,Use relatable spokespeople founder stories and community language to signal similarity,brand awareness,intermediate
41,Unity Principle,Influencing Behavior,Shared identity drives influence; 'one of us' is powerful,Position your brand as part of the customer's tribe with insider language and shared values,community building,intermediate
42,Scarcity / Urgency,Influencing Behavior,Limited availability increases perceived value; scarcity signals desirability,Limited-time offers low-stock warnings and exclusive access create urgency—only use when genuine,increasing urgency,beginner
43,Foot-in-the-Door,Influencing Behavior,Start with a small request then escalate; compliance with small requests leads to larger ones,Free trial to paid plan to annual plan to enterprise—each step builds on the last,onboarding,intermediate
44,Door-in-the-Face,Influencing Behavior,Start with an unreasonably large request then retreat to what you actually want,Show enterprise pricing first then reveal the affordable starter plan—contrast makes it feel like a deal,pricing decisions,intermediate
45,Loss Aversion,Influencing Behavior,Losses feel roughly twice as painful as equivalent gains feel good,Frame messaging in terms of what they'll lose by not acting—'Don't miss out' beats 'You could gain',increasing urgency,intermediate
46,Anchoring Effect,Influencing Behavior,The first number people see heavily influences subsequent judgments,Show the higher price first (original price or competitor price) to anchor expectations high,pricing decisions,beginner
47,Decoy Effect,Influencing Behavior,Adding a third inferior option makes one of the original two look better,Add a decoy pricing tier that's clearly worse value to make your preferred tier the obvious choice,pricing decisions,intermediate
48,Framing Effect,Pricing Psychology,How something is presented changes how it's perceived; same facts different frames,'90% success rate' vs '10% failure rate' are identical but feel different—frame positively,messaging and copy,beginner
49,Contrast Effect,Pricing Psychology,Things seem different depending on what they're compared to,Show the before state clearly—the contrast with your after makes improvements vivid,pricing decisions,beginner
50,Charm Pricing,Pricing Psychology,Prices ending in 9 seem significantly lower than the next round number; $99 feels much cheaper than $100,Use .99 or .95 endings for value-focused products where the left digit dominates perception,pricing decisions,beginner
51,Rounded-Price Effect,Pricing Psychology,Round numbers feel premium and are easier to process; $100 signals quality while $99 signals value,Use round prices for premium products ($500/month) and charm prices for value products ($497/month),pricing decisions,intermediate
52,Rule of 100,Pricing Psychology,For prices under $100 percentage discounts seem larger; for prices over $100 absolute discounts seem larger,"$80 product: '20% off' beats '$16 off'; $500 product: '$100 off' beats '20% off'",pricing decisions,beginner
53,Price Relativity / Good-Better-Best,Pricing Psychology,People judge prices relative to options presented; a middle tier seems reasonable between cheap and expensive,Three tiers where the middle is your target—expensive tier makes it look reasonable,pricing decisions,intermediate
54,Mental Accounting (Pricing),Pricing Psychology,Framing the same price differently changes perception based on mental categories,"'$1/day' feels cheaper than '$30/month'; 'Less than your morning coffee' reframes the expense",pricing decisions,intermediate
55,Hick's Law,Design & Delivery,Decision time increases with the number and complexity of choices; more options means more abandonment,Simplify choices—one clear CTA beats three and fewer form fields beat more,low conversions,beginner
56,AIDA Funnel,Design & Delivery,Attention → Interest → Desire → Action; the classic customer journey model,Structure pages and campaigns to move through each stage—capture attention before building desire,campaign optimization,beginner
57,Rule of 7,Design & Delivery,Prospects need roughly 7 touchpoints before converting; one ad rarely converts,Build multi-touch campaigns across channels—retargeting email sequences and consistent presence compound,campaign optimization,intermediate
58,Nudge Theory,Design & Delivery,Small changes in how choices are presented significantly influence decisions,Default selections strategic ordering and friction reduction guide behavior without restricting choice,decision paralysis,intermediate
59,BJ Fogg Behavior Model,Design & Delivery,Behavior = Motivation × Ability × Prompt; all three must be present for action,High motivation but hard to do won't happen—design for motivation ability and prompt together,low conversions,intermediate
60,EAST Framework,Design & Delivery,Make desired behaviors Easy Attractive Social and Timely,Reduce friction (easy) make it appealing (attractive) show others doing it (social) ask at the right moment (timely),low conversions,intermediate
61,COM-B Model,Design & Delivery,Behavior requires Capability Opportunity and Motivation,Can they do it? Is the path clear? Do they want to? Address all three to drive behavior,low conversions,intermediate
62,Activation Energy,Design & Delivery,The initial energy required to start something; high activation energy prevents action,Pre-fill forms offer templates show quick wins—make the first step trivially easy,low conversions,beginner
63,North Star Metric,Design & Delivery,One metric that best captures the value you deliver to customers; focus creates alignment,Identify your North Star (active users or revenue per customer) and align all efforts toward it,growth stalling,intermediate
64,Cobra Effect,Design & Delivery,When incentives backfire and produce the opposite of intended results,Test incentive structures—a referral bonus might attract low-quality referrals gaming the system,campaign optimization,advanced
65,Feedback Loops,Growth & Scaling,Output becomes input creating cycles; positive loops accelerate growth and negative loops create decline,Build virtuous cycles: more users → more content → better SEO → more users,growth stalling,intermediate
66,Compounding,Growth & Scaling,Small consistent gains accumulate into large results over time; early gains matter most,Consistent content SEO and brand building compound—start early as benefits accumulate exponentially,growth stalling,intermediate
67,Network Effects,Growth & Scaling,A product becomes more valuable as more people use it,Design features that improve with more users: shared workspaces integrations marketplaces communities,growth stalling,advanced
68,Flywheel Effect,Growth & Scaling,Sustained effort creates momentum that eventually maintains itself; hard to start easy to maintain,Content → traffic → leads → customers → case studies → more content; each element powers the next,growth stalling,intermediate
69,Switching Costs,Growth & Scaling,The price of changing to a competitor in time money effort and data; high switching costs create retention,Increase switching costs ethically: integrations data accumulation workflow customization team adoption,retention and churn,intermediate
70,Exploration vs Exploitation,Growth & Scaling,Balance trying new things (exploration) with optimizing what works (exploitation),Don't abandon working channels for shiny new ones but allocate some budget to experiments,budget allocation,intermediate
71,Critical Mass / Tipping Point,Growth & Scaling,The threshold after which growth becomes self-sustaining,Focus resources on reaching critical mass in one segment before expanding—depth before breadth,growth stalling,advanced
72,Survivorship Bias,Growth & Scaling,Focusing on successes while ignoring failures that aren't visible,Study failed campaigns not just successful ones—the viral hit you're copying had 99 failures you didn't see,research and insights,intermediate
