id,name,category,formula,benchmark_seed,benchmark_series_a,benchmark_series_b,interpretation,related_metrics
1,MRR,revenue,"Sum of all active subscriptions × monthly price","$10K-$50K","$200K-$800K","$1M-$3M","Core revenue health indicator; track Net New MRR breakdown (new + expansion - contraction - churn) to understand growth drivers","ARR;Growth Rate (MoM);Net New MRR;ARPU"
2,ARR,revenue,"MRR × 12","$120K-$600K","$2M-$10M","$12M-$36M","Annualized view preferred by investors; use for YoY comparisons and fundraising benchmarks","MRR;Growth Rate (YoY);Net Revenue Retention"
3,Growth Rate (MoM),revenue,"(Current Month MRR - Prior Month MRR) / Prior Month MRR","15-20% MoM","10-15% MoM","5-10% MoM","Sustained high MoM growth signals product-market fit; declining MoM is natural at scale but watch for sudden drops","MRR;ARR;Growth Rate (YoY)"
4,Growth Rate (YoY),revenue,"(Current Year ARR - Prior Year ARR) / Prior Year ARR","N/A (too early)","3-5x YoY","100%+ YoY","Better long-term trend indicator than MoM; less noisy and preferred by later-stage investors","ARR;Growth Rate (MoM);Rule of 40"
5,Net Revenue Retention (NRR),revenue,"(Beginning ARR + Expansion - Contraction - Churn) / Beginning ARR","80-100%","100-120%","110-130%","Above 100% means existing customers grow faster than churn; best-in-class SaaS exceeds 120%","Logo Churn Rate;Revenue Churn Rate;Expansion MRR;LTV"
6,CAC,unit_economics,"Total Sales & Marketing Spend / New Customers Acquired","$100-$500","$500-$2000","$1000-$5000","Include all S&M costs (salaries; tools; ads; overhead); segment by channel to find most efficient acquisition paths","LTV;LTV:CAC Ratio;CAC Payback Period;Magic Number"
7,LTV,unit_economics,"ARPU × Gross Margin% × (1 / Monthly Churn Rate)","$500-$2000","$3000-$10000","$10000-$50000","Higher LTV supports higher CAC spending; sensitivity-test by varying churn assumptions; segment by cohort and plan tier","CAC;LTV:CAC Ratio;ARPU;Churn Rate;Gross Margin"
8,LTV:CAC Ratio,unit_economics,"LTV / CAC",">1.0 (establishing)",">3.0",">3.5","Below 1.0 is unsustainable (losing money per customer); 3.0+ is healthy; above 5.0 may signal underinvestment in growth","CAC;LTV;CAC Payback Period;Growth Rate (MoM)"
9,CAC Payback Period,unit_economics,"CAC / (ARPU × Gross Margin%)","<18 months","<12 months","<12 months","Measures months to recoup acquisition cost; shorter payback preserves cash; >24 months is a red flag for investors","CAC;ARPU;Gross Margin;Burn Rate;Runway"
10,ARPU,unit_economics,"Total MRR / Total Active Customers","$50-$200/mo","$200-$1000/mo","$500-$2000/mo","Track trends over time; rising ARPU via upsells is a strong signal; segment by plan tier and customer size","MRR;LTV;CAC Payback Period;Expansion MRR"
11,Gross Margin,unit_economics,"(Revenue - COGS) / Revenue","50-70%","60-80%","65-85%","SaaS typically 70-85%; lower margins indicate high infrastructure or support costs; critical input to LTV and payback calculations","LTV;Contribution Margin;CAC Payback Period;ARPU"
12,Contribution Margin,unit_economics,"(Revenue - COGS - Variable Costs) / Revenue","30-50%","40-60%","50-70%","More granular than gross margin; includes variable S&M costs; shows true per-unit profitability after all variable expenses","Gross Margin;CAC;ARPU;Operating Leverage"
13,Logo Churn Rate,retention,"Customers Lost in Period / Customers at Start of Period","3-7% monthly","2-5% monthly","1-3% monthly","Measures customer count attrition; high logo churn with stable revenue churn suggests small customers leaving; segment by cohort","Revenue Churn Rate;Net Revenue Retention;Logo Retention;LTV"
14,Revenue Churn Rate,retention,"Churned MRR / Starting MRR","3-7% monthly","1-3% monthly","<2% monthly","Revenue-weighted churn; more important than logo churn because losing large customers hurts more; track gross and net separately","Logo Churn Rate;Net Revenue Retention;MRR;Gross Retention"
15,Net Revenue Retention,retention,"(Starting MRR + Expansion - Contraction - Churn) / Starting MRR","80-100%","100-120%",">120%","The single most important SaaS retention metric; >100% means growth from existing customers alone without any new sales","Revenue Churn Rate;Expansion MRR;Contraction MRR;LTV"
16,Cohort Retention,retention,"Users Active in Period from Cohort / Original Cohort Size","D7: 30-40%; D30: 15-25%","D7: 40-50%; D30: 25-35%","D7: 50-60%; D30: 35-45%","Plot retention curves by signup cohort; flattening curve = habit formation; improving cohorts over time = product getting better","DAU/MAU Ratio;Activation Rate;Logo Churn Rate;Stickiness"
17,DAU/MAU Ratio,retention,"Daily Active Users / Monthly Active Users","10-20%","20-30%","25-40%","Measures engagement frequency; >50% is exceptional (daily habit like social/messaging); <20% suggests weak daily value proposition","Cohort Retention;Session Duration;Stickiness;Activation Rate"
18,Activation Rate,retention,"Users Completing Key Action / Total New Signups","20-40%","40-60%","50-70%","Defines as reaching 'aha moment'; optimize onboarding to improve; single biggest lever for retention and downstream metrics","Cohort Retention;Time to Value;DAU/MAU Ratio;Feature Adoption Rate"
19,Burn Multiple,growth_efficiency,"Net Burn / Net New ARR","<3.0","<2.0","<1.5","Lower is better; measures cost to generate each dollar of new ARR; <1.0 is exceptional efficiency; >3.0 signals capital inefficiency","Burn Rate;ARR;Growth Rate (YoY);Runway"
20,Rule of 40,growth_efficiency,"Revenue Growth Rate% + Profit Margin%","N/A (growth focus)","20-40%",">40%","Balances growth against profitability; >40% is excellent; high-growth companies can have negative margins if growth compensates","Growth Rate (YoY);Gross Margin;Burn Multiple;Operating Leverage"
21,Magic Number,growth_efficiency,"Net New ARR (Quarter) / S&M Spend (Prior Quarter)","N/A (too early)","0.5-0.75",">0.75","Measures S&M efficiency; >0.75 means ready to invest more in sales; <0.5 means fix efficiency before scaling spend","CAC;Growth Rate (MoM);LTV:CAC Ratio;Sales Efficiency"
22,Hype Ratio,growth_efficiency,"Valuation / ARR","100-200x (pre-revenue OK)","20-50x","15-30x","Investor sentiment indicator; very high ratios need strong growth to justify; declining ratio with flat growth is warning sign","ARR;Growth Rate (YoY);Burn Multiple;Rule of 40"
23,Growth Efficiency Index,growth_efficiency,"Net New ARR / Net Burn","0.3-0.5","0.5-1.0",">1.0","Inverse of burn multiple; higher is better; >1.0 means generating more ARR than burning cash; shows path to capital efficiency","Burn Multiple;Net New MRR;Burn Rate;CAC"
24,Viral Coefficient,growth_efficiency,"Invites per User × Invite Conversion Rate","0.1-0.3","0.3-0.7","0.5-1.0+","K>1.0 means exponential organic growth; even K=0.3 meaningfully reduces CAC; track by channel (email; social; in-product)","CAC;Growth Rate (MoM);Activation Rate;NPS"
25,Runway,cash_management,"Cash Balance / Monthly Burn Rate","12-18 months post-raise","18-24 months post-raise","18-24 months post-raise","Always maintain 12+ months; start fundraising at 6-9 months remaining; runway <6 months is crisis territory","Burn Rate;Cash Conversion Score;MRR;ARR"
26,Burn Rate,cash_management,"Monthly Expenses - Monthly Revenue","$30K-$100K/mo net burn","$100K-$500K/mo net burn","$300K-$1M/mo net burn","Track gross burn (total spend) and net burn (after revenue); decreasing net burn with growing revenue shows path to profitability","Runway;Burn Multiple;MRR;Operating Leverage"
27,Cash Conversion Score,cash_management,"Free Cash Flow / Net Income","Negative (pre-profit)","Improving toward 0","0.5-1.0","Measures how efficiently profit converts to cash; negative early-stage is normal; improving trend matters more than absolute value","Burn Rate;Runway;Operating Leverage;Gross Margin"
28,Quick Ratio (SaaS),cash_management,"(New MRR + Expansion MRR) / (Churned MRR + Contraction MRR)",">2.0",">3.0",">4.0","Measures growth efficiency vs churn; >4.0 is healthy; <2.0 indicates a churn problem offsetting new growth","Net Revenue Retention;Revenue Churn Rate;Expansion MRR;MRR"
29,Operating Leverage,cash_management,"Revenue Growth Rate / Operating Expense Growth Rate","<1.0 (investing phase)","1.0-1.5","1.5-2.0+","Ratio >1.0 means revenue growing faster than costs; indicates scalable unit economics; key to path-to-profitability narrative","Gross Margin;Contribution Margin;Burn Rate;Rule of 40"
30,Revenue Per Employee,cash_management,"ARR / Full-Time Employees","$50K-$100K","$100K-$200K","$200K-$400K","Proxy for organizational efficiency; best-in-class SaaS reaches $300K+; track trend as you scale to ensure productive hiring","Operating Leverage;ARR;Burn Rate;Gross Margin"
31,GMV,marketplace,"Sum of all transaction values on platform","$50K-$200K/mo","$500K-$2M/mo","$2M-$10M/mo","Total economic activity on marketplace; growth rate matters more than absolute number early on; 20%+ MoM at seed is strong","Take Rate;Growth Rate (MoM);Liquidity;Repeat Rate"
32,Take Rate,marketplace,"Net Revenue / GMV","5-15% (establishing)","10-20% (optimizing)","10-25% (mature)","Balance between platform value capture and seller/buyer economics; too high drives disintermediation; too low limits business model","GMV;MRR;Gross Margin;Supply/Demand Ratio"
33,Liquidity,marketplace,"Transactions Completed / Listings or Requests","30-50% fill rate","50-70% fill rate",">70% fill rate","Core marketplace health metric; measures probability of successful match; low liquidity = chicken-and-egg problem not solved","GMV;Time to First Transaction;Supply/Demand Ratio;Repeat Rate"
34,Repeat Rate,marketplace,"Users with 2+ Transactions / Total Transacting Users","20-40%","40-60%",">60%","Strong repeat rate validates marketplace value; reduces reliance on new user acquisition; drives LTV and organic growth","Liquidity;Cohort Retention;LTV;DAU/MAU Ratio"
35,Supply/Demand Ratio,marketplace,"Active Supply Units / Active Demand Units","Varies by model","Approaching 1:1","Balanced at 1:1","Imbalance causes friction; too much supply = low fill rates; too much demand = long wait times; actively manage both sides","Liquidity;GMV;Time to First Transaction;Take Rate"
36,Time to First Transaction,marketplace,"Median time from signup to first completed transaction","<7 days","<3 days","<1 day","Shorter time = lower drop-off; optimize onboarding to reduce; long times indicate friction or trust barriers in the platform","Activation Rate;Liquidity;Time to Value;Repeat Rate"
37,DAU/WAU/MAU,engagement,"Count of unique users active in daily/weekly/monthly windows","DAU: 100-1000; MAU: 1K-10K","DAU: 1K-10K; MAU: 10K-100K","DAU: 10K-100K; MAU: 100K-1M","Track all three and their ratios; DAU/MAU >50% is exceptional; growing MAU with flat DAU signals engagement problem","DAU/MAU Ratio;Session Duration;Stickiness;Cohort Retention"
38,Session Duration,engagement,"Total Time in App / Number of Sessions","2-5 minutes","5-10 minutes","8-15 minutes","Context-dependent: productivity tools want shorter focused sessions; content/social wants longer; always pair with session frequency","DAU/WAU/MAU;Feature Adoption Rate;Stickiness;Time to Value"
39,Feature Adoption Rate,engagement,"Users Using Feature / Total Active Users","10-30% for new features","20-50% for core features","40-70% for core features","Track per-feature to identify what drives retention; low adoption of key features = UX or discovery problem; informs roadmap priority","Activation Rate;Session Duration;DAU/MAU Ratio;Cohort Retention"
40,NPS,engagement,"% Promoters (9-10) - % Detractors (0-6)","20-40","40-60","50-70","Lagging indicator of product satisfaction; >50 is excellent; track by segment and cohort; follow up on detractor feedback for churn prevention","Cohort Retention;Logo Churn Rate;Viral Coefficient;Activation Rate"
41,Time to Value,engagement,"Median time from signup to first value-delivery moment","<24 hours","<1 hour","<30 minutes","Shorter TTV = higher activation and retention; optimize onboarding; reduce setup friction; guide users to aha moment quickly","Activation Rate;Time to First Transaction;Cohort Retention;Feature Adoption Rate"
42,Stickiness,engagement,"DAU / MAU (also called Stickiness Ratio)","10-20%","20-35%","30-50%+","Measures habitual usage; high stickiness = strong daily value proposition; low stickiness with high MAU = occasional use pattern","DAU/MAU Ratio;Session Duration;Cohort Retention;Feature Adoption Rate"
